model_name,cv_selection_score,cv_roc_auc,cv_average_precision,cv_fraud_f1,validation_selection_metric,validation_selection_score,validation_threshold,validation_fraud_f1,validation_fraud_precision,validation_fraud_recall,validation_average_precision,test_roc_auc,test_average_precision,test_fraud_f1,test_fraud_precision,test_fraud_recall,test_threshold
random_forest,0.8783433994823122,0.9917643229166666,0.9489290899619734,0.8783433994823122,fraud_f1,0.8214285714285714,0.72,0.8214285714285714,0.9583333333333334,0.71875,0.8020709967495306,0.9955969939085445,0.7874679933064151,0.8070175438596491,0.92,0.71875,0.72
catboost,0.8621588665907763,0.9895507812500001,0.9454419758373787,0.8621588665907763,fraud_f1,0.7741935483870968,0.9600000000000001,0.7741935483870968,0.8,0.75,0.7965971930965796,0.9946517231308412,0.7675482782234371,0.6984126984126984,0.7096774193548387,0.6875,0.9600000000000001
xgboost,0.8620450405186939,0.99423828125,0.9585689713568643,0.8620450405186939,fraud_f1,0.7719298245614035,0.97,0.7719298245614035,0.88,0.6875,0.7720603361898916,0.9968343207610147,0.7503087699106772,0.7213114754098361,0.7586206896551724,0.6875,0.97
bagging_tree,0.8945683328330714,0.9883138020833334,0.9470784821942827,0.8945683328330714,fraud_f1,0.7213114754098361,0.81,0.7213114754098361,0.7586206896551724,0.6875,0.75482664866416,0.9978434788050734,0.7413747258727873,0.7213114754098361,0.7586206896551724,0.6875,0.81
extra_trees,0.7289959839357429,0.9782552083333332,0.8968477037734007,0.7289959839357429,fraud_f1,0.72,0.87,0.72,1.0,0.5625,0.6557017610566795,0.9903282501668892,0.6606195423792771,0.68,0.9444444444444444,0.53125,0.87
gradient_boosting,0.877091923356779,0.9849283854166666,0.9328171642929362,0.877091923356779,fraud_f1,0.7164179104477612,0.99,0.7164179104477612,0.6857142857142857,0.75,0.7543881251267792,0.9912304948264352,0.7448229821313369,0.696969696969697,0.6764705882352942,0.71875,0.99
adaboost,0.907103825136612,0.9965820312500001,0.973521803795803,0.907103825136612,fraud_f1,0.6923076923076923,0.68,0.6923076923076923,0.9,0.5625,0.751114849922775,0.9970520589953271,0.7179498346661398,0.6909090909090909,0.8260869565217391,0.59375,0.68
logistic_regression,0.9503597851423938,0.99365234375,0.9863189965989018,0.9503597851423938,fraud_f1,0.6666666666666666,1.0,0.6666666666666666,0.8947368421052632,0.53125,0.7103532839964819,0.9712279132593458,0.6705357366386462,0.7272727272727273,0.8695652173913043,0.625,1.0
lightgbm,0.9139479790094543,0.9959309895833334,0.9699341088398472,0.9139479790094543,fraud_f1,0.48148148148148145,0.98,0.48148148148148145,0.34210526315789475,0.8125,0.6783402029705307,0.9973447669809746,0.6785367615998652,0.4752475247524752,0.34782608695652173,0.75,0.98
